,City,Latitude,Longitude,Country,pm25_present,pm25_unit,pm25_mean,pm25_median,no2_present,no2_unit,no2_mean,no2_median,o3_present,o3_unit,o3_mean,o3_median,pm10_present,pm10_unit,pm10_mean,pm10_median,co_present,co_unit,co_mean,co_median,so2_present,so2_unit,so2_mean,so2_median,bc_present,bc_unit,bc_mean,bc_median
0,Alto Hospicio,-20.290466881209,-70.100192427636,CL,True,µg/m³,5.666666666666667,6.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
1,北京市,39.8673,116.434,CN,True,µg/m³,8.416666666666666,5.5,True,µg/m³,36.291666666666664,35.5,True,µg/m³,67.91666666666667,68.5,True,µg/m³,38.083333333333336,31.0,True,µg/m³,341.6666666666667,250.0,True,µg/m³,2.5,2.0,False,,,
2,South East Queensland,-27.4296,153.158,AU,True,µg/m³,5.58888888888889,5.5,True,ppm,0.0030606060606060614,0.001,True,ppm,0.027875000000000014,0.028,True,µg/m³,17.202777777777776,16.1,True,ppm,0.10000000000000002,0.1,True,ppm,-666.5987333333331,0.001,False,,,
3,Sydney East,-33.9333333,151.0452778,AU,True,µg/m³,4.3999999999999995,4.4,True,ppm,0.0016133333333333336,0.0017000000000000001,True,ppm,0.024333333333333332,0.023,True,µg/m³,9.383333333333333,6.9,True,ppm,0.12222222222222223,0.1,True,ppm,0.13766666666666666,0.166,False,,,
4,Central & Western,22.285,114.14444444444445,HK,True,µg/m³,22.900000000000002,22.5,True,µg/m³,24.55,24.55,True,µg/m³,56.650000000000006,56.650000000000006,True,µg/m³,35.45,35.45,False,,,,True,µg/m³,3.25,3.25,False,,,
5,Tocopilla,-22.085518710314,-70.188682515839,CL,True,µg/m³,7.0,7.86,True,µg/m³,5.716666666666666,3.83,True,µg/m³,15.436666666666667,16.07,True,µg/m³,23.893333333333334,23.47,True,µg/m³,716.4,716.85,True,µg/m³,3.5216666666666665,3.83,False,,,
6,Eastern,22.282777777777778,114.21944444444445,HK,True,µg/m³,21.333333333333332,21.2,True,µg/m³,29.633333333333336,31.6,True,µg/m³,52.5,50.2,True,µg/m³,32.0,32.9,False,,,,True,µg/m³,1.1,1.1,False,,,
7,Bush Estate,55.862281,-3.205782,GB,False,,,,True,µg/m³,4.5,4.5,True,µg/m³,50.5,50.5,False,,,,False,,,,False,,,,False,,,
8,Zagorje,46.131074,14.996085,SI,False,,,,False,,,,False,,,,True,µg/m³,23.0,21.0,False,,,,False,,,,False,,,
9,Bogota,4.637735,-74.09486,CO,True,µg/m³,23.666666666666668,24.0,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,
10,Tuzla,44.52361111111111,18.60027777777778,BA,True,µg/m³,66.26,60.2,True,µg/m³,18.328571428571426,15.3,True,µg/m³,8.350000000000001,7.550000000000001,False,,,,True,µg/m³,1796.0,1273.0,True,µg/m³,19.857142857142858,20.1,False,,,
11,Edinburgh,55.945589,-3.182186,GB,True,µg/m³,9.0,9.0,True,µg/m³,9.0,9.0,True,µg/m³,43.5,43.5,True,µg/m³,13.0,13.0,False,,,,True,µg/m³,19.0,19.0,False,,,
12,Kowloon,22.322499999999998,114.16833333333334,HK,True,µg/m³,24.842857142857145,25.0,True,µg/m³,41.07777777777778,33.3,True,µg/m³,45.14444444444445,49.2,True,µg/m³,36.12222222222223,37.0,True,µg/m³,777.0333333333333,759.3,True,µg/m³,3.1777777777777776,3.3,False,,,
